Order_ID,Date,Customer_ID,Product,Quantity,Unit_Price,Revenue,Region,Sales_Rep
ORD000001,2022-08-17,CUST0053,Laptop,1,1612.33,1612.33,South,REP18
ORD000002,2022-03-03,CUST0288,Desktop,7,862.37,6036.59,Central,REP07
ORD000003,2024-05-09,CUST0004,Keyboard,3,100.86,302.58,East,REP06
ORD000004,2022-11-15,CUST0025,Keyboard,2,192.3,384.6,East,REP04
ORD000005,2023-06-26,CUST0194,Motherboard,1,102.59,102.59,West,REP03
ORD000006,2024-01-11,CUST0015,SSD,1,144.61,144.61,North,REP10
ORD000007,2022-07-26,CUST0023,Webcam,1,98.37,98.37,East,REP07
ORD000008,2022-05-27,CUST0084,SSD,5,339.39,1696.95,Central,REP15
ORD000009,2023-03-26,CUST0017,RAM,2,124.31,248.62,North,REP11
ORD000010,2023-10-07,CUST0235,Keyboard,3,137.98,413.94,West,REP05
ORD000011,2023-06-23,CUST0113,Graphics Card,1,959.96,959.96,Central,REP05
ORD000012,2022-04-07,CUST0217,Power Supply,8,77.41,619.28,South,REP20
ORD000013,2024-08-16,CUST0006,Hard Drive,4,112.85,451.4,Central,REP04
ORD000014,2023-07-01,CUST0081,Motherboard,1,413.3,413.3,North,
ORD000015,2023-06-24,CUST0153,Hard Drive,1,240.49,240.49,Central,REP17
ORD000016,2022-11-27,CUST0166,Hard Drive,1,288.37,288.37,Central,
ORD000017,2023-09-22,CUST0044,Keyboard,1,30.43,30.43,Central,REP16
ORD000018,2024-12-26,CUST0085,Motherboard,2,145.4,290.8,West,REP09
ORD000019,2023-03-10,CUST0205,Case,2,126.29,252.58,South,REP12
ORD000020,2022-09-05,CUST0036,Keyboard,1,60.45,60.45,,REP08
ORD000021,2022-05-01,CUST0037,Keyboard,2,32.13,64.26,North,REP17
ORD000022,2023-03-15,CUST0125,Hard Drive,1,83.08,83.08,Central,REP16
ORD000023,2022-07-18,CUST0028,RAM,1,152.07,152.07,West,REP04
ORD000024,2022-08-12,CUST0217,Keyboard,1,54.49,54.49,Central,REP06
ORD000025,2022-06-04,CUST0042,USB Cable,2,25.2,50.4,Central,REP18
ORD000026,2023-04-30,CUST0206,Monitor,4,414.17,1656.68,,REP02
ORD000027,2024-03-10,CUST0285,Mouse,1,139.71,139.71,West,REP16
ORD000028,2022-04-30,CUST0030,SSD,2,383.72,767.44,North,REP02
ORD000029,2024-12-23,CUST0012,Monitor,2,186.97,373.94,Central,REP03
ORD000030,2023-04-27,CUST0021,Webcam,1,65.18,65.18,Central,REP20
ORD000031,2024-12-06,CUST0161,Headphones,2,375.84,751.68,South,REP08
ORD000032,2023-09-07,CUST0040,USB Cable,1,12.9,12.9,North,REP19
ORD000033,2023-03-13,CUST0126,Hard Drive,1,116.3,116.3,East,REP12
ORD000034,2023-09-12,CUST0053,SSD,6,492.9,2957.4,Central,REP18
ORD000035,2022-10-03,CUST0080,Mouse,7,26.16,183.12,North,REP09
ORD000036,2023-12-04,CUST0129,Keyboard,4,143.75,575.0,East,REP02
ORD000037,2023-07-21,CUST0135,Laptop,1,505.32,505.32,South,REP06
ORD000038,2024-05-25,CUST0077,Hard Drive,1,52.42,52.42,North,
ORD000039,2022-10-31,CUST0021,Webcam,3,66.76,200.28,East,REP12
ORD000040,2022-07-30,CUST0080,Headphones,2,318.64,637.28,West,REP08
ORD000041,2022-12-29,CUST0171,Case,1,105.97,105.97,South,REP14
ORD000042,2023-05-24,CUST0020,Mouse,2,32.29,64.58,North,REP16
ORD000043,2024-07-31,CUST0099,Headphones,1,142.92,142.92,South,REP13
ORD000044,2023-07-26,CUST0275,Headphones,5,267.35,1336.75,West,REP11
ORD000045,2023-06-19,CUST0039,Monitor,1,527.38,527.38,East,REP14
ORD000046,2024-06-12,CUST0296,SSD,3,493.06,1479.18,North,REP07
ORD000047,2022-01-04,CUST0101,Hard Drive,1,281.39,281.39,Central,REP12
ORD000048,2023-11-08,CUST0154,SSD,2,198.12,396.24,North,REP17
ORD000049,2024-04-04,CUST0043,Graphics Card,2,584.35,1168.7,South,REP13
ORD000050,2023-09-09,CUST0108,Webcam,1,155.07,155.07,North,REP14
ORD000051,2023-10-22,CUST0087,USB Cable,7,16.04,112.28,South,REP03
ORD000052,2023-11-18,CUST0116,Desktop,3,1582.11,4746.33,South,REP07
ORD000053,2024-08-31,CUST0295,SSD,6,433.88,2603.28,North,REP07
ORD000054,2024-03-29,CUST0055,Keyboard,5,46.56,232.8,North,REP14
ORD000055,2024-11-26,CUST0063,USB Cable,2,6.26,12.52,South,REP15
ORD000056,2024-12-23,CUST0259,Hard Drive,6,198.86,1193.16,West,REP14
ORD000057,2022-11-22,CUST0127,Graphics Card,1,1319.94,1319.94,West,REP09
